date,max_temp,min_temp
2026-07-23,38.7,26.0
2026-07-24,39.2,27.8
2026-07-25,40.4,27.6
2026-07-26,36.5,27.0
2026-07-27,37.6,27.1
2026-07-28,37.6,28.0
2026-07-29,36.3,28.4
